Group,Day,Tank,ZT,
Acclimation,1,1,0,28.34074074
Acclimation,1,2,0,28.34074074
Acclimation,1,3,0,28.34074074
Acclimation,2,1,0,28.605
Acclimation,2,2,0,27.541
Acclimation,2,3,0,30.632
Acclimation,3,1,0,26.895
Acclimation,3,2,0,27.606
Acclimation,3,3,0,28.766
Acclimation,1,1,1,28.28842593
Acclimation,1,2,1,28.28842593
Acclimation,1,3,1,28.28842593
Acclimation,2,1,1,27.908
Acclimation,2,2,1,27.442
Acclimation,2,3,1,29.389
Acclimation,3,1,1,27.178
Acclimation,3,2,1,28.906
Acclimation,3,3,1,28.908
Acclimation,1,1,2,28.33981481
Acclimation,1,2,2,28.33981481
Acclimation,1,3,2,28.33981481
Acclimation,2,1,2,28.456
Acclimation,2,2,2,27.725
Acclimation,2,3,2,29.403
Acclimation,3,1,2,27.547
Acclimation,3,2,2,28.294
Acclimation,3,3,2,28.614
Acclimation,1,1,3,27.630
Acclimation,1,2,3,28.09113757
Acclimation,1,3,3,28.09113757
Acclimation,2,1,3,27.528
Acclimation,2,2,3,27.614
Acclimation,2,3,3,29.264
Acclimation,3,1,3,26.981
Acclimation,3,2,3,28.608
Acclimation,3,3,3,29.014
Acclimation,1,1,4,27.722
Acclimation,1,2,4,28.50659722
Acclimation,1,3,4,28.333
Acclimation,2,1,4,27.461
Acclimation,2,2,4,29.164
Acclimation,2,3,4,29.433
Acclimation,3,1,4,27.575
Acclimation,3,2,4,28.867
Acclimation,3,3,4,29.497
Acclimation,1,1,5,28.328
Acclimation,1,2,5,28.74270833
Acclimation,1,3,5,28.247
Acclimation,2,1,5,28.025
Acclimation,2,2,5,28.758
Acclimation,2,3,5,29.489
Acclimation,3,1,5,27.864
Acclimation,3,2,5,29.389
Acclimation,3,3,5,29.842
Acclimation,1,1,6,27.956
Acclimation,1,2,6,28.828125
Acclimation,1,3,6,28.322
Acclimation,2,1,6,28.197
Acclimation,2,2,6,29.544
Acclimation,2,3,6,29.769
Acclimation,3,1,6,27.900
Acclimation,3,2,6,29.017
Acclimation,3,3,6,29.919
Acclimation,1,1,7,26.589
Acclimation,1,2,7,28.60104167
Acclimation,1,3,7,29.939
Acclimation,2,1,7,27.419
Acclimation,2,2,7,29.003
Acclimation,2,3,7,29.219
Acclimation,3,1,7,28.011
Acclimation,3,2,7,28.708
Acclimation,3,3,7,29.919
Acclimation,1,1,8,27.447
Acclimation,1,2,8,28.988
Acclimation,1,3,8,30.917
Acclimation,2,1,8,27.778
Acclimation,2,2,8,29.044
Acclimation,2,3,8,29.272
Acclimation,3,1,8,28.089
Acclimation,3,2,8,28.503
Acclimation,3,3,8,29.114
Acclimation,1,1,9,27.883
Acclimation,1,2,9,28.525
Acclimation,1,3,9,30.936
Acclimation,2,1,9,28.408
Acclimation,2,2,9,28.692
Acclimation,2,3,9,29.083
Acclimation,3,1,9,27.747
Acclimation,3,2,9,28.303
Acclimation,3,3,9,29.169
Acclimation,1,1,10,27.431
Acclimation,1,2,10,29.058
Acclimation,1,3,10,30.797
Acclimation,2,1,10,28.442
Acclimation,2,2,10,29.194
Acclimation,2,3,10,29.089
Acclimation,3,1,10,27.553
Acclimation,3,2,10,28.067
Acclimation,3,3,10,29.389
Acclimation,1,1,11,27.753
Acclimation,1,2,11,28.633
Acclimation,1,3,11,30.119
Acclimation,2,1,11,28.153
Acclimation,2,2,11,28.192
Acclimation,2,3,11,29.317
Acclimation,3,1,11,28.456
Acclimation,3,2,11,28.736
Acclimation,3,3,11,30.328
Acclimation,1,1,12,27.231
Acclimation,1,2,12,28.533
Acclimation,1,3,12,29.061
Acclimation,2,1,12,27.247
Acclimation,2,2,12,27.408
Acclimation,2,3,12,28.086
Acclimation,3,1,12,27.458
Acclimation,3,2,12,27.897
Acclimation,3,3,12,28.050
Acclimation,1,1,13,27.161
Acclimation,1,2,13,28.683
Acclimation,1,3,13,29.122
Acclimation,2,1,13,27.061
Acclimation,2,2,13,27.350
Acclimation,2,3,13,27.814
Acclimation,3,1,13,27.569
Acclimation,3,2,13,27.572
Acclimation,3,3,13,27.936
Acclimation,1,1,14,27.019
Acclimation,1,2,14,29.011
Acclimation,1,3,14,28.583
Acclimation,2,1,14,27.172
Acclimation,2,2,14,27.328
Acclimation,2,3,14,27.711
Acclimation,3,1,14,27.519
Acclimation,3,2,14,27.739
Acclimation,3,3,14,27.783
Acclimation,1,1,15,26.972
Acclimation,1,2,15,27.886
Acclimation,1,3,15,28.506
Acclimation,2,1,15,27.147
Acclimation,2,2,15,27.433
Acclimation,2,3,15,27.569
Acclimation,3,1,15,27.547
Acclimation,3,2,15,27.611
Acclimation,3,3,15,27.475
Acclimation,1,1,16,26.761
Acclimation,1,2,16,27.911
Acclimation,1,3,16,28.200
Acclimation,2,1,16,26.989
Acclimation,2,2,16,27.233
Acclimation,2,3,16,28.200
Acclimation,3,1,16,27.289
Acclimation,3,2,16,27.311
Acclimation,3,3,16,27.772
Acclimation,1,1,17,26.814
Acclimation,1,2,17,27.461
Acclimation,1,3,17,28.189
Acclimation,2,1,17,27.014
Acclimation,2,2,17,27.494
Acclimation,2,3,17,27.739
Acclimation,3,1,17,27.431
Acclimation,3,2,17,27.317
Acclimation,3,3,17,27.472
Acclimation,1,1,18,26.617
Acclimation,1,2,18,27.275
Acclimation,1,3,18,28.206
Acclimation,2,1,18,26.758
Acclimation,2,2,18,27.328
Acclimation,2,3,18,27.531
Acclimation,3,1,18,27.183
Acclimation,3,2,18,27.678
Acclimation,3,3,18,27.386
Acclimation,1,1,19,26.942
Acclimation,1,2,19,27.147
Acclimation,1,3,19,27.800
Acclimation,2,1,19,27.203
Acclimation,2,2,19,27.228
Acclimation,2,3,19,27.375
Acclimation,3,1,19,27.406
Acclimation,3,2,19,27.703
Acclimation,3,3,19,26.275
Acclimation,1,1,20,26.847
Acclimation,1,2,20,27.108
Acclimation,1,3,20,27.806
Acclimation,2,1,20,26.917
Acclimation,2,2,20,27.719
Acclimation,2,3,20,27.533
Acclimation,3,1,20,27.061
Acclimation,3,2,20,27.844
Acclimation,3,3,20,26.283
Acclimation,1,1,21,26.750
Acclimation,1,2,21,27.169
Acclimation,1,3,21,27.836
Acclimation,2,1,21,26.917
Acclimation,2,2,21,27.617
Acclimation,2,3,21,27.503
Acclimation,3,1,21,27.047
Acclimation,3,2,21,27.814
Acclimation,3,3,21,26.622
Acclimation,1,1,22,26.861
Acclimation,1,2,22,27.497
Acclimation,1,3,22,28.369
Acclimation,2,1,22,26.969
Acclimation,2,2,22,27.875
Acclimation,2,3,22,27.617
Acclimation,3,1,22,27.086
Acclimation,3,2,22,27.581
Acclimation,3,3,22,26.856
Acclimation,1,1,23,27.186
Acclimation,1,2,23,27.550
Acclimation,1,3,23,28.117
Acclimation,2,1,23,27.514
Acclimation,2,2,23,28.000
Acclimation,2,3,23,27.475
Acclimation,3,1,23,27.206
Acclimation,3,2,23,27.475
Acclimation,3,3,23,27.078
Experiment,1,1,0,27.99145299
Experiment,1,2,0,29.03760684
Experiment,1,3,0,29.97606838
Experiment,2,1,0,29.87264957
Experiment,2,2,0,29.18205128
Experiment,2,3,0,29.01137187
Experiment,3,1,0,28.32649573
Experiment,3,2,0,28.30009416
Experiment,3,3,0,29.17350427
Experiment,4,1,0,28.30009416
Experiment,4,2,0,28.25897436
Experiment,4,3,0,29.83589744
Experiment,5,1,0,28.16239316
Experiment,5,2,0,28.32478632
Experiment,5,3,0,28.86410256
Experiment,6,1,0,29.11880342
Experiment,6,2,0,25.09401709
Experiment,6,3,0,29.6008547
Experiment,7,1,0,26.18205128
Experiment,7,2,0,26.32905983
Experiment,7,3,0,28.73675214
Experiment,8,1,0,28.35213675
Experiment,8,2,0,27.01452991
Experiment,8,3,0,30.03162393
Experiment,9,1,0,26.95042735
Experiment,9,2,0,28.86239316
Experiment,9,3,0,28.62136752
Experiment,10,1,0,27.74786325
Experiment,10,2,0,25.40683761
Experiment,10,3,0,29.43162393
Experiment,11,1,0,27.97606838
Experiment,11,2,0,27.52905983
Experiment,1,1,1,28.17777778
Experiment,1,2,1,28.66111111
Experiment,1,3,1,29.93055556
Experiment,2,1,1,28.65
Experiment,2,2,1,28.875
Experiment,2,3,1,29.24722222
Experiment,3,1,1,28.28611111
Experiment,3,2,1,28.70949821
Experiment,3,3,1,29.25833333
Experiment,4,1,1,28.83333333
Experiment,4,2,1,28.45277778
Experiment,4,3,1,30.32222222
Experiment,5,1,1,28.14444444
Experiment,5,2,1,28.35555556
Experiment,5,3,1,29.82777778
Experiment,6,1,1,27.92222222
Experiment,6,2,1,27.76111111
Experiment,6,3,1,29.89722222
Experiment,7,1,1,28.28055556
Experiment,7,2,1,27.89444444
Experiment,7,3,1,29.95277778
Experiment,8,1,1,28.275
Experiment,8,2,1,27.82222222
Experiment,8,3,1,30.34166667
Experiment,9,1,1,27.44166667
Experiment,9,2,1,28.42777778
Experiment,9,3,1,29.025
Experiment,10,1,1,27.99444444
Experiment,10,2,1,27.51666667
Experiment,10,3,1,29.6
Experiment,11,1,1,28.54444444
Experiment,11,2,1,28.275
Experiment,1,1,2,28.51666667
Experiment,1,2,2,28.25833333
Experiment,1,3,2,29.43888889
Experiment,2,1,2,28.3
Experiment,2,2,2,28.4
Experiment,2,3,2,29.51666667
Experiment,3,1,2,28.18888889
Experiment,3,2,2,28.68853047
Experiment,3,3,2,29.4
Experiment,4,1,2,28.87222222
Experiment,4,2,2,28.91944444
Experiment,4,3,2,29.86388889
Experiment,5,1,2,28.15833333
Experiment,5,2,2,28.625
Experiment,5,3,2,30.24444444
Experiment,6,1,2,27.61666667
Experiment,6,2,2,27.62222222
Experiment,6,3,2,30.575
Experiment,7,1,2,27.76944444
Experiment,7,2,2,27.98888889
Experiment,7,3,2,29.8
Experiment,8,1,2,28.18055556
Experiment,8,2,2,28.03888889
Experiment,8,3,2,29.58888889
Experiment,9,1,2,27.96944444
Experiment,9,2,2,28.18611111
Experiment,9,3,2,28.00833333
Experiment,10,1,2,28.19722222
Experiment,10,2,2,28.92222222
Experiment,10,3,2,29.82222222
Experiment,11,1,2,27.91111111
Experiment,11,2,2,28.44444444
Experiment,1,1,3,28.58611111
Experiment,1,2,3,28.91111111
Experiment,1,3,3,30.01666667
Experiment,2,1,3,28.64166667
Experiment,2,2,3,28.42777778
Experiment,2,3,3,29.75277778
Experiment,3,1,3,27.96666667
Experiment,3,2,3,28.73450461
Experiment,3,3,3,28.68333333
Experiment,4,1,3,28.89722222
Experiment,4,2,3,28.94444444
Experiment,4,3,3,30.01111111
Experiment,5,1,3,28.04464286
Experiment,5,2,3,28.11388889
Experiment,5,3,3,30.14444444
Experiment,6,1,3,27.58055556
Experiment,6,2,3,27.56944444
Experiment,6,3,3,30.125
Experiment,7,1,3,27.59444444
Experiment,7,2,3,28.14444444
Experiment,7,3,3,30.16666667
Experiment,8,1,3,28.78611111
Experiment,8,2,3,27.85555556
Experiment,8,3,3,30.37777778
Experiment,9,1,3,27.41388889
Experiment,9,2,3,28.175
Experiment,9,3,3,28.86666667
Experiment,10,1,3,28.06111111
Experiment,10,2,3,28.14722222
Experiment,10,3,3,30.48055556
Experiment,11,1,3,28.03611111
Experiment,11,2,3,28.24722222
Experiment,1,1,4,28.59444444
Experiment,1,2,4,29.16944444
Experiment,1,3,4,30.32222222
Experiment,2,1,4,28.5
Experiment,2,2,4,28.30555556
Experiment,2,3,4,29.41388889
Experiment,3,1,4,28.46388889
Experiment,3,2,4,28.89946237
Experiment,3,3,4,28.81111111
Experiment,4,1,4,28.86388889
Experiment,4,2,4,28.41111111
Experiment,4,3,4,29.85
Experiment,5,1,4,28.18333333
Experiment,5,2,4,28.33888889
Experiment,5,3,4,30.61388889
Experiment,6,1,4,27.86111111
Experiment,6,2,4,28.41666667
Experiment,6,3,4,30.30555556
Experiment,7,1,4,27.82222222
Experiment,7,2,4,28.975
Experiment,7,3,4,30.82777778
Experiment,8,1,4,27.86944444
Experiment,8,2,4,28.01944444
Experiment,8,3,4,30.03888889
Experiment,9,1,4,27.59444444
Experiment,9,2,4,28.26388889
Experiment,9,3,4,29.71111111
Experiment,10,1,4,28.36944444
Experiment,10,2,4,28.56944444
Experiment,10,3,4,31.08055556
Experiment,11,1,4,28.04444444
Experiment,11,2,4,28.27222222
Experiment,1,1,5,28.70833333
Experiment,1,2,5,28.40833333
Experiment,1,3,5,30.21944444
Experiment,2,1,5,28.21388889
Experiment,2,2,5,28.61944444
Experiment,2,3,5,29.30833333
Experiment,3,1,5,28.50833333
Experiment,3,2,5,28.95430108
Experiment,3,3,5,29.03055556
Experiment,4,1,5,28.38888889
Experiment,4,2,5,29.11944444
Experiment,4,3,5,30.02777778
Experiment,5,1,5,28.00555556
Experiment,5,2,5,29.95833333
Experiment,5,3,5,30.11388889
Experiment,6,1,5,27.45555556
Experiment,6,2,5,29.07777778
Experiment,6,3,5,30.00277778
Experiment,7,1,5,28.01944444
Experiment,7,2,5,28.19444444
Experiment,7,3,5,30.90555556
Experiment,8,1,5,27.96944444
Experiment,8,2,5,28.79166667
Experiment,8,3,5,29.61111111
Experiment,9,1,5,27.91388889
Experiment,9,2,5,28.73333333
Experiment,9,3,5,29.68888889
Experiment,10,1,5,28.50277778
Experiment,10,2,5,28.34444444
Experiment,10,3,5,31.00833333
Experiment,11,1,5,28.20833333
Experiment,11,2,5,28.525
Experiment,1,1,6,28.48888889
Experiment,1,2,6,28.36388889
Experiment,1,3,6,30.18888889
Experiment,2,1,6,28.5
Experiment,2,2,6,28.53888889
Experiment,2,3,6,29.23888889
Experiment,3,1,6,29.61666667
Experiment,3,2,6,28.8509951
Experiment,3,3,6,29.63611111
Experiment,4,1,6,28.19722222
Experiment,4,2,6,29.46666667
Experiment,4,3,6,30.25277778
Experiment,5,1,6,27.91666667
Experiment,5,2,6,29.25
Experiment,5,3,6,29.78055556
Experiment,6,1,6,27.58055556
Experiment,6,2,6,28.825
Experiment,6,3,6,29.56944444
Experiment,7,1,6,27.88888889
Experiment,7,2,6,27.65555556
Experiment,7,3,6,31.57777778
Experiment,8,1,6,28.60555556
Experiment,8,2,6,28.03888889
Experiment,8,3,6,29.15833333
Experiment,9,1,6,27.60555556
Experiment,9,2,6,28.16666667
Experiment,9,3,6,29.76944444
Experiment,10,1,6,28.33918129
Experiment,10,2,6,27.94444444
Experiment,10,3,6,29.79166667
Experiment,11,1,6,28.05277778
Experiment,11,2,6,28.375
Experiment,1,1,7,28.32777778
Experiment,1,2,7,28.79166667
Experiment,1,3,7,29.99722222
Experiment,2,1,7,28.69444444
Experiment,2,2,7,28.125
Experiment,2,3,7,29.37777778
Experiment,3,1,7,28.79444444
Experiment,3,2,7,28.76299283
Experiment,3,3,7,29.78611111
Experiment,4,1,7,28.175
Experiment,4,2,7,29.71388889
Experiment,4,3,7,29.81111111
Experiment,5,1,7,27.85555556
Experiment,5,2,7,28.30833333
Experiment,5,3,7,30.25
Experiment,6,1,7,27.65555556
Experiment,6,2,7,29.59444444
Experiment,6,3,7,28.93055556
Experiment,7,1,7,27.58611111
Experiment,7,2,7,27.93333333
Experiment,7,3,7,30.61111111
Experiment,8,1,7,28.15833333
Experiment,8,2,7,29.01111111
Experiment,8,3,7,29.41111111
Experiment,9,1,7,27.54444444
Experiment,9,2,7,28.21944444
Experiment,9,3,7,29.40555556
Experiment,10,1,7,28.275
Experiment,10,2,7,27.78055556
Experiment,10,3,7,29.33611111
Experiment,11,1,7,27.88611111
Experiment,11,2,7,28.30555556
Experiment,1,1,8,28.75
Experiment,1,2,8,28.86944444
Experiment,1,3,8,28.78611111
Experiment,2,1,8,28.23333333
Experiment,2,2,8,28.64166667
Experiment,2,3,8,29.27222222
Experiment,3,1,8,28.65833333
Experiment,3,2,8,28.69310036
Experiment,3,3,8,30.49444444
Experiment,4,1,8,28.62777778
Experiment,4,2,8,28.87777778
Experiment,4,3,8,29.41944444
Experiment,5,1,8,28.075
Experiment,5,2,8,29.63055556
Experiment,5,3,8,30.46944444
Experiment,6,1,8,27.41388889
Experiment,6,2,8,29.27777778
Experiment,6,3,8,28.8
Experiment,7,1,8,27.34722222
Experiment,7,2,8,28.53611111
Experiment,7,3,8,28.81388889
Experiment,8,1,8,28.04444444
Experiment,8,2,8,28.97777778
Experiment,8,3,8,28.81388889
Experiment,9,1,8,27.72777778
Experiment,9,2,8,27.94166667
Experiment,9,3,8,29.1
Experiment,10,1,8,28.21666667
Experiment,10,2,8,27.88611111
Experiment,10,3,8,29.58611111
Experiment,11,1,8,28.09444444
Experiment,11,2,8,28.10277778
Experiment,1,1,9,28.625
Experiment,1,2,9,28.08611111
Experiment,1,3,9,29.14166667
Experiment,2,1,9,28.86666667
Experiment,2,2,9,27.84444444
Experiment,2,3,9,29.8
